     338.9071  -0.8072 29.959685122718  -0.0414953
2457435.500000000     339.1956  -0.8151 29.958565296572  -0.0404285
2457436.500000000     339.2016  -0.8153 29.958542136830  -0.0397382
2457437.500000000     339.2076  -0.8155 29.958519357437  -0.0392360
2457438.500000000     339.2136  -0.8156 29.958496677009  -0.0394255
2457439.500000000     339.2196  -0.8158 29.958473721667  -0.0400922
2457440.500000000     339.2256  -0.8160 29.958450413249  -0.0405261
2457441.500000000     339.2316  -0.8161 29.958427050466  -0.0402589
2457442.500000000     339.2376  -0.8163 29.958403998670  -0.0395505
2457443.500000000     339.2436  -0.8165 29.958381310391  -0.0391191
2457444.500000000     339.2497  -0.8166 29.958358670727  -0.0393953
2457445.500000000     339.2557  -0.8168 29.958335724270  -0.0400750
2457446.500000000     339.2617  -0.8170 29.958312444151  -0.0404352
2457447.500000000     339.2677  -0.8171 29.958289159926  -0.0400847
2457448.500000000     339.2737  -0.8173 29.958266215313  -0.0393703
2457449.500000000     339.2797  -0.8174 29.958243611191  -0.0390169
2457450.500000000     339.2857  -0.8176 29.958221004628  -0.0393748
2457451.500000000     339.2917  -0.8178 29.958198064916  -0.0400554
2457452.500000000     339.2977  -0.8179 29.958174816975  -0.0403353
2457453.500000000     339.3038  -0.8181 29.958151615455  -0.0399071
2457454.500000000     339.3098  -0.8183 29.958128776412  -0.0391989
2457455.500000000     339.3158  -0.8184 29.958106249035  -0.0389296
2457456.500000000     339.3218  -0.8186 29.958083668344  -0.0393626
2457457.500000000     339.3278  -0.8188 29.958060734134  -0.0400319
2457458.500000000     339.3338  -0.8189 29.958037522699  -0.0402263
2457459.500000000     339.3398  -0.8191 29.958014407594  -0.0397277
2457460.500000000     339.3458  -0.8193 29.957991671668  -0.0390378
2457461.500000000     339.3518  -0.8194 29.957969213281  -0.0388570
2457462.500000000     339.3579  -0.8196 29.957946651785  -0.0393572
2457463.500000000     339.3639  -0.8198 29.957923722741  -0.0400032
2457464.500000000     339.3699  -0.8199 29.957900552517  -0.0401083
2457465.500000000     339.3759  -0.8201 29.957877527042  -0.0395477
2457466.500000000     339.3819  -0.8203 29.957854890999  -0.0388878
2457467.500000000     339.3879  -0.8204 29.957832493674  -0.0387984
2457468.500000000     339.3939  -0.8206 29.957809945407  -0.0393569
2457469.500000000     339.3999  -0.8207 29.957787022178  -0.0399678
2457470.500000000     339.4059  -0.8209 29.957763898246  -0.0399815
2457471.500000000     339.4120  -0.8211 29.957740965180  -0.0393682
2457472.500000000     339.4180  -0.8212 29.957718425204  -0.0387496
2457473.500000000     339.4240  -0.8214 29.957696081157  -0.0387528
2457474.500000000     339.4300  -0.8216 29.957673541189  -0.0393593
2457475.500000000     339.4360  -0.8217 29.957650625659  -0.0399242
2457476.500000000     339.4420  -0.8219 29.957627553707  -0.0398455
2457477.500000000     339.4480  -0.8221 29.957604715711  -0.0391899
2457478.500000000     339.4540  -0.8222 29.957582267894  -0.0386228
2457479.500000000     339.4600  -0.8224 29.957559970092  -0.0387180
2457480.500000000     339.4661  -0.8226 29.957537435140  -0.0393614
2457481.500000000     339.4721  -0.8227 29.957514530948  -0.0398695
2457482.500000000     339.4781  -0.8229 29.957491517740  -0.0396993
2457483.500000000     339.4841  -0.8231 29.957468777875  -0.0390120
2457484.500000000     339.4901  -0.8232 29.957446418813  -0.0385058
2457485.500000000     339.4961  -0.8234 29.957424161556  -0.0386908
2457486.500000000     339.5021  -0.8235 29.957401630378  -0.0393593
