     248.1772   1.7719 10.010579972221   0.2244787
2457434.500000000     249.6037   1.7278 10.016494685241   0.2122216
2457435.500000000     249.6340   1.7269 10.016617310097   0.2123922
2457436.500000000     249.6643   1.7260 10.016739994763   0.2124599
2457437.500000000     249.6947   1.7250 10.016862709477   0.2124427
2457438.500000000     249.7250   1.7241 10.016985332278   0.2121507
2457439.500000000     249.7553   1.7231 10.017107710472   0.2116049
2457440.500000000     249.7857   1.7222 10.017229752385   0.2110119
2457441.500000000     249.8160   1.7212 10.017351424706   0.2103016
2457442.500000000     249.8463   1.7203 10.017472682858   0.2096264
2457443.500000000     249.8766   1.7193 10.017593556418   0.2089427
2457444.500000000     249.9070   1.7184 10.017714056310   0.2083638
2457445.500000000     249.9373   1.7174 10.017834276730   0.2079931
2457446.500000000     249.9676   1.7164 10.017954352080   0.2078309
2457447.500000000     249.9980   1.7155 10.018074339489   0.2077026
2457448.500000000     250.0283   1.7145 10.018194316220   0.2077803
2457449.500000000     250.0586   1.7136 10.018314350945   0.2079121
2457450.500000000     250.0889   1.7126 10.018434497273   0.2081548
2457451.500000000     250.1192   1.7117 10.018554782491   0.2083726
2457452.500000000     250.1495   1.7107 10.018675151445   0.2084015
2457453.500000000     250.1799   1.7098 10.018795477095   0.2082828
2457454.500000000     250.2102   1.7088 10.018915710265   0.2080257
2457455.500000000     250.2405   1.7079 10.019035724292   0.2075514
2457456.500000000     250.2708   1.7069 10.019155425607   0.2069288
2457457.500000000     250.3011   1.7059 10.019274725971   0.2061930
2457458.500000000     250.3315   1.7050 10.019393586671   0.2054221
2457459.500000000     250.3618   1.7040 10.019512057330   0.2048571
2457460.500000000     250.3921   1.7031 10.019630215796   0.2043128
2457461.500000000     250.4224   1.7021 10.019748088316   0.2039083
2457462.500000000     250.4527   1.7011 10.019865774785   0.2036550
2457463.500000000     250.4830   1.7002 10.019983373023   0.2035998
2457464.500000000     250.5134   1.6992 10.020100978574   0.2036983
2457465.500000000     250.5437   1.6983 10.020218685350   0.2038978
2457466.500000000     250.5740   1.6973 10.020336477416   0.2040160
2457467.500000000     250.6043   1.6963 10.020454367426   0.2042209
2457468.500000000     250.6346   1.6954 10.020572346437   0.2043174
2457469.500000000     250.6649   1.6944 10.020690335312   0.2042248
2457470.500000000     250.6952   1.6934 10.020808208019   0.2039301
2457471.500000000     250.7255   1.6925 10.020925845724   0.2033888
2457472.500000000     250.7558   1.6915 10.021043125943   0.2027639
2457473.500000000     250.7861   1.6906 10.021160050355   0.2021048
2457474.500000000     250.8164   1.6896 10.021276565614   0.2013764
2457475.500000000     250.8467   1.6886 10.021392666540   0.2006883
2457476.500000000     250.8771   1.6877 10.021508417023   0.2001757
2457477.500000000     250.9074   1.6867 10.021623905181   0.1997751
2457478.500000000     250.9377   1.6857 10.021739236105   0.1996336
2457479.500000000     250.9680   1.6847 10.021854499860   0.1995234
2457480.500000000     250.9983   1.6838 10.021969735386   0.1995611
2457481.500000000     251.0286   1.6828 10.022085040474   0.1997540
2457482.500000000     251.0588   1.6818 10.022200485082   0.2000033
2457483.500000000     251.0891   1.6809 10.022316039889   0.2001615
2457484.500000000     251.1194   1.6799 10.022431674615   0.2002266
2457485.500000000     251.1497   1.6789 10.022547274144   0.2000692
2457486.500000000     251.1800   1.6780 10.022662760959   0.1998226
2457487.500000000     251.2103   1.6770 10.022778044041   0.1993640
2457488.500000000     251.2406   1.6760 10.022892996799   0.1986675
2457489.500000000     251.2709   1.6750 10.023007526871   0.1979553
2457490.500000000     251.3012   1.6741 10.023121651038   0.1972379
2457491.500000000     251.3315   1.6731 10.023235377809   0.1966275
2457492.500000000     251.3618   1.6721 10.023348794295   0.1961205
