     284.9764   1.6375 33.012881163658   1.0609337
2457424.500000000     285.1710   1.5777 33.035853329487   1.0802137
2457425.500000000     285.1763   1.5761 33.036473100394   1.0664907
2457426.500000000     285.1815   1.5745 33.037086930003   1.0613376
2457427.500000000     285.1868   1.5729 33.037701674037   1.0694061
2457428.500000000     285.1921   1.5713 33.038323400565   1.0835449
2457429.500000000     285.1973   1.5697 33.038951978537   1.0911988
2457430.500000000     285.2026   1.5680 33.039581198953   1.0855967
2457431.500000000     285.2078   1.5664 33.040204310367   1.0717880
2457432.500000000     285.2131   1.5649 33.040820043798   1.0621538
2457433.500000000     285.2183   1.5632 33.041433748966   1.0653494
2457434.500000000     285.2236   1.5616 33.042052615399   1.0785702
2457435.500000000     285.2289   1.5600 33.042679255783   1.0900745
2457436.500000000     285.2341   1.5584 33.043309380923   1.0896587
2457437.500000000     285.2393   1.5568 33.043935624856   1.0777450
2457438.500000000     285.2446   1.5552 33.044554114385   1.0650187
2457439.500000000     285.2498   1.5536 33.045167929949   1.0628969
2457440.500000000     285.2551   1.5519 33.045784354998   1.0733224
2457441.500000000     285.2604   1.5503 33.046408371852   1.0870419
2457442.500000000     285.2656   1.5487 33.047038221047   1.0918748
2457443.500000000     285.2709   1.5471 33.047666973318   1.0835636
2457444.500000000     285.2761   1.5455 33.048288707602   1.0695748
2457445.500000000     285.2814   1.5439 33.048903797101   1.0624512
2457446.500000000     285.2866   1.5423 33.049518578457   1.0686037
2457447.500000000     285.2919   1.5406 33.050139691369   1.0825884
2457448.500000000     285.2971   1.5390 33.050768155262   1.0919842
2457449.500000000     285.3024   1.5374 33.051398465109   1.0884663
2457450.500000000     285.3076   1.5358 33.052023499565   1.0752228
2457451.500000000     285.3129   1.5342 33.052640874360   1.0641277
2457452.500000000     285.3181   1.5326 33.053255074453   1.0651400
2457453.500000000     285.3234   1.5310 33.053873447948   1.0774031
2457454.500000000     285.3286   1.5293 33.054499646239   1.0900262
2457455.500000000     285.3339   1.5277 33.055130372006   1.0918067
2457456.500000000     285.3391   1.5261 33.055758320973   1.0812073
2457457.500000000     285.3444   1.5245 33.056378695330   1.0677376
2457458.500000000     285.3496   1.5229 33.056993489057   1.0634772
2457459.500000000     285.3549   1.5213 33.057609708564   1.0722782
2457460.500000000     285.3601   1.5197 33.058233114917   1.0863340
2457461.500000000     285.3654   1.5180 33.058863086970   1.0931621
2457462.500000000     285.3706   1.5164 33.059493179298   1.0867254
2457463.500000000     285.3759   1.5148 33.060116868532   1.0728161
2457464.500000000     285.3811   1.5132 33.060733375443   1.0639041
2457465.500000000     285.3864   1.5116 33.061348363776   1.0679973
2457466.500000000     285.3916   1.5100 33.061968880832   1.0814885
2457467.500000000     285.3969   1.5084 33.062597068600   1.0923940
2457468.500000000     285.4021   1.5067 33.063228258578   1.0910425
2457469.500000000     285.4073   1.5051 33.063855134800   1.0786893
2457470.500000000     285.4126   1.5035 33.064474259424   1.0664113
2457471.500000000     285.4178   1.5019 33.065089145209   1.0652240
2457472.500000000     285.4231   1.5003 33.065707118534   1.0762346
2457473.500000000     285.4284   1.4987 33.066332777502   1.0896673
2457474.500000000     285.4336   1.4971 33.066963894587   1.0935971
2457475.500000000     285.4388   1.4954 33.067593405648   1.0845704
2457476.500000000     285.4441   1.4939 33.068215708431   1.0706922
2457477.500000000     285.4493   1.4923 33.068831664804   1.0644063
2457478.500000000     285.4546   1.4906 33.069447833301   1.0713748
2457479.500000000     285.4598   1.4890 33.070070610742   1.0854255
2457480.500000000     285.4651   1.4874 33.070700526485   1.0940792
2457481.500000000     285.4703   1.4858 33.071331775106   1.0896722
2457482.500000000     285.4755   1.4842 33.071957392307   1.0761861
2457483.500000000     285.4808   1.4826 33.072575468869   1.0657120
2457484.500000000     285.4860   1.4810 33.073190858719   1.0676545
2457485.500000000     285.4913   1.4794 33.073810843185   1.0803266
2457486.500000000     285.4966   1.4777 33.074438631415   1.0924740
2457487.500000000     285.5018   1.4761 33.075070503146   1.0933187
2457488.500000000     285.5070   1.4745 33.075699127197   1.0821583
2457489.500000000     285.5123   1.4729 33.076320099319   1.0690041
2457490.500000000     285.5175   1.4713 33.076935876677   1.0656547
2457491.500000000     285.5228   1.4697 33.077553584451   1.0751490
2457492.500000000     285.5280   1.4681 33.078178652411   1.0890630
2457493.500000000     285.5333   1.4664 33.078809974252   1.0950416
2457494.500000000     285.5385   1.4648 33.079440897774   1.0878056
2457495.500000000     285.5437   1.4632 33.080065155658   1.0738613
2457496.500000000     285.5490   1.4616 33.080682459696   1.0657107
2457497.500000000     285.5542   1.4600 33.081298760952   1.0706822
2457498.500000000     285.5595   1.4584 33.081920933713   1.0843851
2457499.500000000     285.5647   1.4568 33.082550641734   1.0946484
2457500.500000000     285.5699   1.4551 33.083182859555   1.0923736
2457501.500000000     285.5752   1.4535 33.083810353465   1.0796399
2457502.500000000     285.5804   1.4520 33.084430134245   1.0678649
2457503.500000000     285.5857   1.4504 33.085046129318   1.0676150
2457504.500000000     285.5909   1.4487 33.085665675056   1.0791605
2457505.500000000     285.5962   1.4471 33.086292966480   1.0922494
2457506.500000000     285.6014   1.4455 33.086925319888   1.0952635
2457507.500000000     285.6066   1.4439 33.087555568096   1.0855656
2457508.500000000     285.6118   1.4423 33.088178451131   1.0718600
2457509.500000000     285.6171   1.4407 33.088795313415   1.0664366
2457510.500000000     285.6224   1.4391 33.089412905008   1.0741866
2457511.500000000     285.6276   1.4375 33.090037352394   1.0882407
